,date,subtotal,tax,total,currency_code,payment.type,bill_to.name,vendor.type,vendor.name,vendor.address
0,2021-09-17 00:00:00,1.16,52.25,1.16,EUR,visa,Alice McCarthy,Catering,HARIBO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
1,2021-09-18 00:00:00,1.16,52.25,1.16,EUR,master_card,Brosina Hoffman,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
2,2021-10-02 00:00:00,1.16,52.25,1.16,EUR,master_card,Brosina Hoffman,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
3,2021-09-23 00:00:00,1.16,52.25,1.16,EUR,cash,Cyma Kinney,footwear,CONVERSE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
4,2021-09-08 00:00:00,1.16,52.25,1.16,EUR,visa,Darrin Martin,mixed clothing,MARINA MILITARE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
5,2021-09-19 00:00:00,1.16,52.25,1.16,EUR,visa,Erica Hackney,women's underwear,VANITY FAIR,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
6,2021-09-09 00:00:00,1.16,52.25,1.16,EUR,visa,Erica Hernandez,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
7,2021-09-10 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred Hopkins,Catering,HARIBO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
8,2021-09-11 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred Hopkins,Catering,HARIBO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
9,2021-09-28 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred Hopkins,Catering,HARIBO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
10,2021-09-25 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred Hopkins,footwear,DUUO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
11,2021-09-29 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred McMath,women's underwear,CALZEDONIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
12,2021-09-12 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred McMath,mixed clothing,NAUTICA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
13,2021-09-14 00:00:00,1.16,52.25,1.16,EUR,master_card,Mark Packer,men's clothing,HARMONT & BLAINE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
14,2021-09-15 00:00:00,1.16,52.25,1.16,EUR,visa,Rachel Payne,sportswear,ADIDAS/REEBOK,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
15,2021-10-01 00:00:00,1.16,52.25,1.16,EUR,visa,Rachel Payne,women's underwear,VANITY FAIR,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
16,2021-09-26 00:00:00,1.16,52.25,1.16,EUR,master_card,Sally Hughsby,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
